point-id,point-name,nature,point-x,point-y,demand,time-window-a,time-window-b,cost-t-a,cost-t-b,service-time
38,Delivery_19,DD,3.78,0.92,-1.4,2,35,2.0,0.2,1.2
39,Pickup_20,PP,4.61,3.58,0.4,2,27,1.4,3.7,0.8
40,Delivery_20,DD,4.29,2.89,-0.4,5,26,0.3,2.2,1.3
41,Pickup_21,PP,4.55,4.96,4.3,5,35,0.7,0.9,0.9
42,Delivery_21,DD,3.64,4.13,-4.3,5,33,1.0,3.6,1.0
43,Pickup_22,PP,4.42,3.71,11.4,2,29,0.7,1.8,0.9
44,Delivery_22,DD,0.34,2.68,-11.4,4,20,1.4,3.4,1.4
45,Pickup_23,PP,0.51,4.2,1.9,5,32,1.5,1.7,1.5
46,Delivery_23,DD,2.8,4.14,-1.9,4,33,0.1,1.9,0.8
47,Pickup_24,PP,3.9,3.97,2.6,3,30,0.7,2.6,0.9
48,Delivery_24,DD,5.16,2.36,-2.6,5,20,1.1,3.9,1.4
49,Pickup_25,PP,3.44,0.62,6.6,4,26,1.4,1.6,1.4
50,Delivery_25,DD,3.99,3.53,-6.6,2,32,1.9,2.7,1.1
51,Pickup_26,PP,5.0,5.92,3.2,4,35,0.8,3.8,0.9
52,Delivery_26,DD,1.68,4.95,-3.2,5,23,1.2,0.1,1.2
53,Pickup_27,PP,4.72,4.74,4.8,3,27,1.6,0.2,1.3
54,Delivery_27,DD,4.62,3.61,-4.8,4,21,2.0,2.2,1.0
55,Pickup_28,PP,5.08,1.29,1.3,1,28,1.4,3.2,1.2
56,Delivery_28,DD,4.7,5.08,-1.3,3,20,1.7,3.6,1.5
57,Pickup_29,PP,3.94,3.89,8.4,0,26,0.8,2.4,1.4
58,Delivery_29,DD,4.01,3.62,-8.4,1,24,0.4,1.1,0.9
59,Pickup_30,PP,4.01,4.4,3.2,1,28,1.5,1.6,1.2
60,Delivery_30,DD,3.5,3.39,-3.2,2,26,1.3,3.4,1.3
61,Pickup_31,PP,4.41,5.64,2.0,4,26,1.2,2.1,0.8
62,Delivery_31,DD,1.62,0.83,-2.0,4,33,0.7,3.3,1.3
63,Pickup_32,PP,7.16,2.34,1.8,2,22,1.0,0.6,0.8
64,Delivery_32,DD,4.89,5.02,-1.8,5,30,0.6,0.8,1.4
65,Pickup_33,PP,3.42,2.85,1.3,2,28,1.8,2.2,1.3
66,Delivery_33,DD,2.03,4.87,-1.3,4,26,0.1,0.7,1.5
67,Pickup_34,PP,3.88,1.02,4.0,2,33,1.4,1.8,0.8
68,Delivery_34,DD,4.09,3.94,-4.0,3,34,0.8,2.3,0.9
69,Pickup_35,PP,5.22,4.04,3.2,5,24,1.2,1.9,1.4
70,Delivery_35,DD,7.37,4.83,-3.2,1,25,1.4,2.3,0.9
71,Pickup_36,PP,4.75,5.52,2.6,5,22,1.6,1.3,1.0
72,Delivery_36,DD,0.47,2.44,-2.6,2,22,0.1,3.6,1.5
73,Pickup_37,PP,2.89,4.88,3.8,2,28,0.8,3.8,1.0
74,Delivery_37,DD,6.9,1.73,-3.8,3,32,0.2,3.4,1.1
75,Pickup_38,PP,7.59,5.57,2.0,1,21,2.0,0.9,1.1
76,Delivery_38,DD,4.46,3.62,-2.0,4,29,1.8,0.0,1.4
77,Pickup_39,PP,3.31,4.86,2.8,5,26,0.8,0.2,1.3
78,Delivery_39,DD,4.01,4.05,-2.8,0,26,1.1,0.0,1.0
79,Pickup_40,PP,5.35,3.87,4.7,4,22,1.2,1.3,1.0
80,Delivery_40,DD,5.0,3.7,-4.7,5,20,0.5,2.9,1.2
81,Pickup_41,PP,3.37,4.89,3.9,4,25,1.3,3.6,1.1
82,Delivery_41,DD,3.45,2.69,-3.9,0,27,0.7,1.1,1.4
83,Pickup_42,PP,1.78,1.65,1.8,3,30,0.7,3.0,1.0
84,Delivery_42,DD,6.99,5.44,-1.8,4,25,1.7,3.0,0.9
85,Pickup_43,PP,4.01,4.08,8.1,4,33,0.3,2.3,1.2
86,Delivery_43,DD,4.79,2.69,-8.1,5,24,1.0,0.5,1.3
87,Pickup_44,PP,3.91,5.03,7.8,2,22,0.1,3.1,0.9
88,Delivery_44,DD,3.06,4.21,-7.8,1,25,1.6,0.6,0.8
89,Pickup_45,PP,3.79,0.02,6.7,4,23,1.0,3.3,1.3
90,Delivery_45,DD,3.28,3.93,-6.7,2,28,1.5,2.6,1.5
91,Pickup_46,PP,4.19,2.55,9.9,0,23,0.3,2.4,0.8
92,Delivery_46,DD,0.35,2.66,-9.9,0,34,0.7,2.1,0.9
93,Pickup_47,PP,4.75,3.22,2.2,4,30,1.8,1.6,1.0
94,Delivery_47,DD,2.71,4.09,-2.2,3,23,0.7,2.1,0.9
95,Pickup_48,PP,3.39,4.48,3.7,5,24,0.8,0.5,1.4
96,Delivery_48,DD,4.87,3.52,-3.7,4,25,1.7,0.9,1.5
97,Pickup_49,PP,4.24,4.01,2.4,4,26,0.0,0.8,0.9
98,Delivery_49,DD,4.77,3.75,-2.4,1,22,1.8,0.0,0.9
99,Pickup_50,PP,3.79,3.95,3.1,0,29,2.0,1.4,1.2
100,Delivery_50,DD,3.94,3.13,-3.1,3,29,1.1,3.0,1.5
0,Depot,depot,4,4,0,0,0,0,0,0
